date,city,region,avg_temp_c,max_temp_c,min_temp_c,rainfall_mm,humidity_pct,wind_speed_kmh,sunshine_hours,aqi,weather_condition
2020-01-01,Kathmandu,Central,8.2,16.4,2.1,14.2,68,9.1,6.2,185,Cold & Dry
2020-01-01,Pokhara,Western,10.1,18.3,3.8,22.1,72,7.4,5.8,92,Cold & Dry
2020-01-01,Biratnagar,Eastern,14.3,22.1,7.4,18.3,65,8.2,7.1,210,Cold & Dry
2020-01-01,Chitwan,Southern,13.8,21.6,6.9,12.4,63,7.8,7.4,198,Cold & Dry
2020-01-01,Butwal,Mid-Western,11.2,19.4,4.6,16.8,67,8.0,6.8,176,Cold & Dry
2020-02-01,Kathmandu,Central,10.4,18.9,3.8,18.6,64,10.2,6.8,178,Cold & Dry
2020-02-01,Pokhara,Western,12.3,20.8,5.2,28.4,70,8.1,6.2,88,Cold & Dry
2020-02-01,Biratnagar,Eastern,16.8,24.6,9.2,24.1,61,9.0,7.6,204,Cold & Dry
2020-02-01,Chitwan,Southern,16.2,23.9,8.6,20.3,60,8.4,7.8,192,Cold & Dry
2020-02-01,Butwal,Mid-Western,13.6,21.8,6.3,22.1,64,8.6,7.2,168,Cold & Dry
2020-03-01,Kathmandu,Central,14.8,23.2,7.6,28.4,60,12.4,7.4,172,Spring
2020-03-01,Pokhara,Western,17.2,26.1,9.4,44.6,66,10.2,6.8,84,Spring
2020-03-01,Biratnagar,Eastern,22.4,30.8,14.6,36.2,58,10.8,8.2,196,Spring
2020-03-01,Chitwan,Southern,21.8,30.2,14.1,32.4,56,10.1,8.4,188,Spring
2020-03-01,Butwal,Mid-Western,18.4,27.2,10.8,30.6,60,10.4,7.8,162,Spring
2020-04-01,Kathmandu,Central,18.6,27.4,11.2,42.8,64,13.8,7.2,168,Spring
2020-04-01,Pokhara,Western,21.4,30.6,13.8,68.4,70,11.6,6.4,80,Spring
2020-04-01,Biratnagar,Eastern,27.2,35.6,19.8,54.2,62,12.2,7.8,188,Spring/Hot
2020-04-01,Chitwan,Southern,26.8,35.1,19.4,48.6,60,11.8,8.0,180,Spring/Hot
2020-04-01,Butwal,Mid-Western,23.2,32.4,15.6,44.8,64,11.9,7.4,156,Spring
2020-05-01,Kathmandu,Central,21.4,29.8,14.6,68.4,72,14.2,6.8,162,Pre-Monsoon
2020-05-01,Pokhara,Western,24.6,33.2,17.4,98.6,76,12.4,5.8,76,Pre-Monsoon
